loop_in_contact	nocontact_null_pval	all_null_pval
1	0.03970795862935777	0.05344424322496849
2	0.06981440224056579	0.09387066321315601
3	0.5584203515898358	0.6650430938063914
4	0.012488768934227073	0.009111948217472162
5	0.5764063918059885	0.7485870773268704
6	0.5604625870836826	0.3974480661949995
