loop_in_contact	nocontact_null_pval	all_null_pval
1	0.0005363589301225091	0.0004833375133457863
2	0.565970688655193	0.534488539694663
3	0.6269917549290258	0.5946605323145362
4	0.0022575749036664694	0.002656620235766379
5	0.00259825608115943	0.0024426312999726364
6	0.7496584588771592	0.7853917429370664
