loop_id	fw_null_pval	all_null_pval
1	0.20901405813960908	0.24197361479553453
2	0.020891321753571133	0.02734945533572608
3	0.007897228720442304	0.006446530134281005
4	0.09220805217749257	0.10593364653105887
5	0.6743827600790284	0.7902096427404489
6	0.895797962813844	0.9850066901353873
