	loop_tm_correlations	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions
0	0.7515005541351105	0	0.759818460956538	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
1	0.8108325952501082	1	0.7830046327943982	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
2	0.7444235458035215	2	0.7774608014769208	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
3	0.768272383234097	3	0.7511936887989418	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
4	0.7692086489023353	4	0.794080724018881	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
5	0.7525540175032511	5	0.7812533746100979	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
6	0.7661388219626757	6	0.7977225753404934	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
7	0.7672285763683503	7	0.7816641916832218	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
8	0.7379009755008811	8	0.7679222307241279	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
9	0.773919137894999	9	0.7460756655979823	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
10	0.7359013971498564	10	0.7679568047513876	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
11	0.7750504964964784	11	0.7501036395448527	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
12	0.7628380837492906	12	0.7642663251297135	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
13	0.7508080548707395	13	0.7667346197416613	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
14	0.7582456847835228	14	0.7743952857562773	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
15	0.7795004825883999	15	0.7817096256481283	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
16	0.7747093113983534	16	0.7931168877449973	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
17	0.7466463361685584	17	0.7523610985512671	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
18	0.7773227307625581	18	0.7953368277904891	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
19	0.75511893854033	19	0.7782923268932069	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
20	0.777871457365184	20	0.7815131313990407	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
21	0.7424546522699965	21	0.775389421619805	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
22	0.7541923671737982	22	0.7501583975538986	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
23	0.7700118144444829	23	0.7754864790371059	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
24	0.7645574552131091	24	0.7482589910583728	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
25	0.7771775497510461	25	0.7869011414104563	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
26	0.7468121826447782	26	0.7773995232236229	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
27	0.7617015004708213	27	0.7814008306880968	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
28	0.7225071431602285	28	0.7971816837132486	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
29	0.7829479075604704	29	0.7620695111152034	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
30	0.762410231736302	30	0.8097700366783432	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
31	0.7508935524516475	31	0.7860630629133079	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
32	0.7490621445710668	32	0.77911619685297	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
33	0.7472224216023869	33	0.785965788532492	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
34	0.7468598944595378	34	0.7785345695439734	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
35	0.7520669925388169	35	0.7794359253147944	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
36	0.757507129086701	36	0.7480930199664574	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
37	0.7401833286160381	37	0.7700827559289439	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
38	0.7474962468052755	38	0.7614599853150398	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
39	0.7673893843966912	39	0.7711409341013857	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
40	0.7575873783880762	40	0.7811028551405523	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
41	0.7600676489548653	41	0.7614169003393031	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
42	0.7601028796700436	42	0.7691273832807725	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
43	0.7814293337136043	43	0.7441717448111026	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
44	0.7784738349338792	44	0.7281635621484477	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
45	0.7565260313965737	45	0.7835124896315634	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
46	0.7519140465320328	46	0.7514865761992345	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
47	0.7538057299059931	47	0.7455422987003288	[0, 57, 78, 138, 162, 201]	[7, 7, 12, 13, 5, 8]	[[0, 6], [57, 63], [78, 89], [138, 150], [162, 166], [201, 208]]
