sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions	loop_tm_correlations
32	0.6336899116784966	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7490621445710668
33	0.5686206688158238	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7472224216023869
34	0.5666355930849751	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7468598944595378
35	0.5740167467492582	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7520669925388169
36	0.5796513580553746	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.757507129086701
37	0.5571093565686694	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7401833286160381
38	0.6076148044282715	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7474962468052755
39	0.6036373325357415	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7673893843966912
40	0.6111460514663691	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7575873783880762
41	0.5555078013286345	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7600676489548653
42	0.5643075995426906	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7601028796700436
43	0.5842065346731136	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7814293337136043
44	0.5299887501216565	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7784738349338792
45	0.6089184903435603	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7565260313965737
46	0.5705929560456237	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7519140465320328
47	0.628915038206896	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7538057299059931
48	0.5961195726532798	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7799200710325
49	0.5637770793562866	[21, 51, 99, 182, 195, 217]	[8, 13, 7, 7, 5, 12]	[[21, 28], [51, 63], [99, 105], [182, 188], [195, 199], [217, 228]]	0.7776238743876125
