loop_tm_correlations	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions
0.7515005541351105	0	0.7965804901024769	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.8108325952501082	1	0.7887118102331272	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7444235458035215	2	0.7917411234128494	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.768272383234097	3	0.8053968079235593	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7692086489023353	4	0.7914189581139657	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7525540175032511	5	0.8014586503012887	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7661388219626757	6	0.7622675009837149	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7672285763683503	7	0.8051248517418893	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7379009755008811	8	0.7925646800988009	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.773919137894999	9	0.7940480673923825	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
