	loop_tm_correlations	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions
36	0.757507129086701	36	0.5530334956664698	[7, 39, 78, 112, 161, 210]	[7, 7, 13, 5, 8, 12]	[[7, 13], [39, 45], [78, 90], [112, 116], [161, 168], [210, 221]]
37	0.7401833286160381	37	0.4695547577662993	[2, 40, 79, 114, 162, 182]	[12, 7, 8, 5, 7, 13]	[[2, 13], [40, 46], [79, 86], [114, 118], [162, 168], [182, 194]]
38	0.7474962468052755	38	0.5813191346466213	[6, 22, 77, 105, 163, 217]	[8, 7, 13, 7, 5, 12]	[[6, 13], [22, 28], [77, 89], [105, 111], [163, 167], [217, 228]]
39	0.7673893843966912	39	-0.1373434840046303	[0, 22, 86, 139, 163, 186]	[12, 7, 5, 13, 7, 8]	[[0, 11], [22, 28], [86, 90], [139, 151], [163, 169], [186, 193]]
40	0.7575873783880762	40	0.6784226149731345	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
41	0.7600676489548653	41	0.5110051045052474	[1, 48, 79, 101, 163, 195]	[12, 13, 7, 5, 7, 8]	[[1, 12], [48, 60], [79, 85], [101, 105], [163, 169], [195, 202]]
42	0.7601028796700436	42	0.5640963790315238	[0, 35, 81, 145, 163, 185]	[13, 7, 8, 5, 7, 12]	[[0, 12], [35, 41], [81, 88], [145, 149], [163, 169], [185, 196]]
43	0.7814293337136043	43	0.027747518240643834	[8, 31, 78, 104, 162, 195]	[5, 8, 7, 12, 7, 13]	[[8, 12], [31, 38], [78, 84], [104, 115], [162, 168], [195, 207]]
44	0.7784738349338792	44	0.41966420104964813	[1, 26, 78, 134, 163, 221]	[13, 7, 12, 8, 5, 7]	[[1, 13], [26, 32], [78, 89], [134, 141], [163, 167], [221, 227]]
45	0.7565260313965737	45	0.6915443265701676	[1, 21, 80, 102, 162, 193]	[12, 13, 8, 5, 7, 7]	[[1, 12], [21, 33], [80, 87], [102, 106], [162, 168], [193, 199]]
46	0.7519140465320328	46	0.7484473617391727	[3, 29, 79, 139, 162, 196]	[7, 13, 12, 7, 8, 5]	[[3, 9], [29, 41], [79, 90], [139, 145], [162, 169], [196, 200]]
47	0.7538057299059931	47	0.6335736477674899	[2, 33, 79, 127, 163, 193]	[8, 13, 12, 7, 5, 7]	[[2, 9], [33, 45], [79, 90], [127, 133], [163, 167], [193, 199]]
48	0.7799200710325	48	0.5020610976374362	[9, 41, 79, 134, 162, 185]	[5, 8, 7, 12, 7, 13]	[[9, 13], [41, 48], [79, 85], [134, 145], [162, 168], [185, 197]]
49	0.7776238743876125	49	0.6379414133057675	[2, 44, 78, 145, 165, 217]	[7, 13, 8, 7, 5, 12]	[[2, 8], [44, 56], [78, 85], [145, 151], [165, 169], [217, 228]]
